"Site ID",Verified?,Updated,"Site Name","Site Name (Spanish)","Site Phone","Site Fax","Site Email","Site Website","Summer Site?","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Tutoring/Academic Enrichment","Arts and Culture","Sports and Recreation","Volunteering/Community Service","Science, Technology, Engineering, and Mathematics","College and Career Readiness",Leadership,"Character Education",Prevention,Nutrition,Mentoring,"Support Services (medical, dental, mental health, etc.)","Monday Morning Start Time","Monday Morning End Time","Monday Afternoon Start Time","Monday Afternoon End Time","Tuesday Morning Start Time","Tuesday Morning End Time","Tuesday Afternoon Start Time","Tuesday Afternoon End Time","Wednesday Morning Start Time","Wednesday Morning End Time","Wednesday Afternoon Start Time","Wednesday Afternoon End Time","Thursday Morning Start Time","Thursday Morning End Time","Thursday Afternoon Start Time","Thursday Afternoon End Time","Friday Morning Start Time","Friday Morning End Time","Friday Afternoon Start Time","Friday Afternoon End Time","Saturday Start Time","Saturday End Time","Sunday Start Time","Sunday End Time","This sites charge a fee?","Charge Frequency",Cost,"Fee assistance available?","Scholarships available?","Accepts DES child care subsidy?","Multiple child discount available?","Other financial assistance available?","Transportation provided?","Snacks provided?","Breakfast provided?","Lunch provided?","Dinner provided?","What percentage of your clientèle receive a free or reduced lunch at their school?","Spanish spoken?","Other languages spoken?","What is the capacity of this site?","Does this site run at capacity?","On a typical day this site is operating, how many children or teens attend at this site?","Does everyone pay the same amount at this site?","Is sliding scale assistance available at this site?","Please describe what other financial assistance is available at this site.","What is the average monthly transportation cost to this site?","What is the number of full-time, paid staff at this site?","What is the number of part-time, paid staff at this site?","What is the number of volunteer staff at this site?","On a typical day, how many staff members are working at this site?","Do you provide referrals for needed parental services at this site?","Do you provide parent education at this site?","Do you provide information and handouts to parents at this site?","Please describe any other items or services provided to parents at this site","What percentage of your total clientele at this site are African American?","What percentage of your total clientele at this site are Asian American?","What percentage of your total clientele at this site are Latino?","What percentage of your total clientele at this site are Native American?","What percentage of your total clientele at this site are White?","What percentage of your total clientele at this site are another race or ethnicity?","Which response best describes the type of program operating at the site?","What percentage of your program budget at this site comes from the federal government?","What percentage of your program budget at this site comes from the state or local government?","What percentage of your program budget at this site comes from parent fees?","What percentage of your program budget at this site comes from grants?","What percentage of your program budget at this site comes from religious organizations?","What is the biggest barrier to operating at full attendence at this site?","Please describe any other barriers you see to operating at full attendence at this site.","When hiring staff for this site, do you require fingerprinting?","When hiring staff for this site, do you require drug test?","When hiring staff for this site, do you require background check?","When hiring staff for this site, do you require personal references?","When hiring staff for this site, do you require other?","How often do you provide staff training/professional development throughout the year for staff at this site?","Approximately how many hours of training/professional development do you provide to your staff at this site per year?","Most used delivery method for your staff's training/professional development at this site.","Second most used delivery method for your staff's training/professional development at this site.","Third most used delivery method for your staff's training/professional development at this site.","Fourth most used delivery method for your staff's training/professional development at this site.","Least used delivery method for your staff's training/professional development at this site.","Who trains your staff for this site? Our own staff?","Who trains your staff for this site? Arizona Association of Supportive Child Care?","Who trains your staff for this site? Arizona Center for Afterschool Excellence?","Who trains your staff for this site? Arizona Department of Health Services?","Who trains your staff for this site? National Afterschool Association?","Who trains your staff for this site? National Institute on Out-of-School Time (NIOST)?","Who trains your staff for this site? Southwest Human Development?","Who trains your staff for this site? Other?","Name the one most important area in which your staff needs the most training at this site.","Please describe if ""other"" selected.","Name the second most important area in which your staff needs the most training at this site.","Please describe if ""other"" selected.","Do you evaluate the quality of your program at this site?","How do you assess the quality of your program at this site?","How frequently do the children/teens at your site have the opportunity to plan activities/projects?","How often do the children/teens at your site have the opportunity to create rules and expectations that are followed?","Do you and/or your staff regularly collaborate with the schools attended by the children/teens at this site? ","How often do you collaborate with the schools attended by the children/teens at this site? "
1169,Yes,8/22/2011,"21st Century Community Learning Centers Grant, KidZone, School Funded afterschool programs",,480-929-9909,,,http://www.scalestechnologyacademy.org,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,,,No,No,No,Yes,Yes,No,"8:00 AM",,,"3:30 PM","8:00 AM",,,"3:30 PM","8:00 AM",,,"3:30 PM","8:00 AM",,,"3:30 PM","8:00 AM",,,"3:30 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM",Yes,Monthly,$300.00,Yes,Yes,Yes,,,Yes,,,,,0.00%,,,150,Yes,,No,Yes,,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Yes,8/22/2011,"21st Century Community Learning Centers Grant, KidZone, School Funded afterschool programs",,480-929-9909,,,http://www.scalestechnologyacademy.org,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,,,No,No,No,Yes,Yes,No,"6:30 AM","7:50 AM","3:05 PM","6:00 PM","6:30 AM","7:50 AM","3:05 PM","6:00 PM","6:30 AM","7:50 AM","3:05 PM","6:00 PM","6:30 AM","7:50 AM","3:05 PM","6:00 PM","6:30 AM","7:50 AM","3:05 PM","6:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM",Yes,Monthly,$300.00,Yes,Yes,Yes,,,Yes,,,,,0.00%,,,150,Yes,,No,Yes,,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Yes,8/22/2011,4-H,,520-626-5161,,,,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,0.00%,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Yes,8/22/2011,4-H,,520-626-5161,,,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,0.00%,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Yes,8/22/2011,"After Care",,623-546-7200,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Yes,8/22/2011,"Afternoon clubs and sports for Salpointe students only",,520-547-5878,,,http://Salpointe.org,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,,,No,No,No,No,No,No,,,"3:00 PM","10:00 PM",,,"3:00 PM","10:00 PM",,,"3:00 PM","10:00 PM",,,"3:00 PM","10:00 PM",,,"3:00 PM","10:00 PM",,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Yes,8/22/2011,"After School",,520-887-9786,,,http://www.pima.gov,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,85.00%,,,40,No,30,,,,,3.00,5.00,1.00,5.00,,,Yes,,2.00%,1.00%,50.00%,7.00%,40.00%,0.00%,"Community Based Program",0.00%,0.00%,0.00%,0.00%,0.00%,"Lack of available transportation to the site",,Yes,,Yes,,,Semi-annually,16,"Peer to peer coaching","On-line training",Workshops/conferences,Supervision,"Trainers specializing in specific subject matter",Yes,,,,,,,,"Effective Program Operation",,"Availability of Community Services and Resources, including those available to children with special needs",,Yes,"Parent/client survey","Less than annually",Quarterly,Yes,"Less than quarterly"
758,Yes,8/22/2011,"After School",,520-887-9786,,,http://www.pima.gov,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,85.00%,,,40,No,30,,,,,3.00,5.00,1.00,5.00,,,Yes,,2.00%,1.00%,50.00%,7.00%,40.00%,0.00%,"Community Based Program",0.00%,0.00%,0.00%,0.00%,0.00%,"Lack of available transportation to the site",,Yes,,Yes,,,Semi-annually,16,"Peer to peer coaching","On-line training",Workshops/conferences,Supervision,"Trainers specializing in specific subject matter",Yes,,,,,,,,"Effective Program Operation",,"Availability of Community Services and Resources, including those available to children with special needs",,Yes,"Parent/client survey","Less than annually",Quarterly,Yes,"Less than quarterly"
343,Yes,8/22/2011,"Afterschool Enrichment Classes",,520-382-1950,,,http://www.marana.com,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,,,No,No,No,No,No,No,,,"3:00 PM","6:00 PM",,,"3:00 PM","6:00 PM",,,"3:00 PM","6:00 PM",,,"3:00 PM","6:00 PM",,,"3:00 PM","6:00 PM",,,,,Yes,Monthly,$200.00,No,,,,,No,,,,,0.00%,,,30,No,14,Yes,,,,,,,,,,,,,,,,,,,,,,,,"Program fees charged",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Yes,8/22/2011,"AFter School Enrichment Program",,480-472-9300,,,http://mpsaz.org,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,,,No,No,No,No,No,No,,,"3:00 PM","4:00 PM",,,"3:00 PM","4:00 PM",,,"3:00 PM","4:00 PM",,,"3:00 PM","4:00 PM",,,"3:00 PM","4:00 PM",,,,,Yes,,,Yes,,,,Yes,No,,,,,0.00%,,,25,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,Yes,8/22/2011,"Afterschool Program",,520-319-8668,,,http://themontessorischoolhouse.com,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,,No,No,No,No,No,No,,,"2:45 PM","5:30 PM",,,"2:45 PM","5:30 PM",,,"2:45 PM","5:30 PM",,,"2:45 PM","5:30 PM",,,"2:45 PM","5:30 PM",,,,,,,,,,,,,,,,,,0.00%,,,25,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Yes,8/22/2011,"After School program",,520-398-0536,,,"http://montessoridesanta cruz.org",No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,,,No,No,No,Yes,No,No,"7:15 AM","8:15 AM","3:15 PM","5:15 PM","7:15 AM","8:15 AM","3:15 PM","5:15 PM","7:15 AM","8:15 AM","3:15 PM","5:15 PM","7:15 AM","8:15 AM","3:15 PM","5:15 PM","7:15 AM","8:15 AM","3:15 PM","5:15 PM",,,,,Yes,,,No,,,,,No,Yes,,,,0.00%,,,13,Yes,,Yes,,,,1.00,0.00,0.00,1.00,Yes,Yes,Yes,,,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,"Less than once a year",18,Supervision,"On-line training","Peer to peer coaching",Workshops/conferences,"Trainers specializing in specific subject matter",Yes,,,,,,,EMT's,"Health and Safety Issues",,"Health and Safety Issues",,Yes,"Informal self-assessment",Monthly,"At least weekly",Yes,
