Category,"Number of Sites"
"Number of Sites",1152
"Number of Sites That Charge a Fee",799
"Number of Sites that Charge Weekly",11
"Average Cost Amount Weekly",98.0909090909090909
"Number of Sites that Charge Monthly",560
"Average Cost Amount Monthly",248.2784919210053860
"Number of Sites that Charge Quarterly",13
"Average Cost Amount Quarterly",95.3076923076923077
"Number of Sites that Charge Per School Semester",5
"Average Cost Amount Per School Semester",250.0000000000000000
"Number of Sites that Charge Annually",30
"Average Cost Amount Annually",45.8333333333333333
"Number of Sites that Charge for a Summer Session",6
"Average Cost Amount Summer Session",233.3333333333333333
"Number of Sites Offering Financial Assistance",546
"Number of Sites Offering Scholarships",338
"Number of Sites Offering DES Assistance",394
"Number of Sites Offering Multiple Child Discounts",48
"Number of Sites Offering Other Finacial Assistance",127
