"Secondary/Union School District Name","Number of Sites","Number of Sites That Charge a Fee","Number of Sites that Charge Weekly","Average Cost Amount Weekly","Number of Sites that Charge Monthly","Average Cost Amount Monthly","Number of Sites that Charge Quarterly","Average Cost Amount Quarterly","Number of Sites that Charge Per School Semester","Average Cost Amount Per School Semester","Number of Sites that Charge Annually","Average Cost Amount Annually","Number of Sites that Charge for a Summer Session","Average Cost Amount Summer Session","Number of Sites Offering Financial Assistance","Number of Sites Offering Scholarships","Number of Sites Offering DES Assistance","Number of Sites Offering Multiple Child Discounts","Number of Sites Offering Other Finacial Assistance"
"Agua Fria Union High School District",20,13,0,,4,219.2500000000000000,0,,0,,2,30.0000000000000000,0,,6,8,4,0,3
"Amphitheater Unified District",46,35,0,,29,285.7241379310344828,0,,0,,0,,0,,12,8,10,0,0
"Apache Junction Unified District",1,1,0,,1,160.0000000000000000,0,,0,,0,,0,,1,1,0,0,0
"Bisbee Unified District",1,1,0,,0,,0,,0,,1,5.0000000000000000,0,,1,1,0,0,0
"Blue Ridge Unified District",1,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0
"Buckeye Union High School District",6,4,0,,2,125.0000000000000000,0,,0,,0,,0,,4,2,2,0,0
"Catalina Foothills Unified District",7,6,0,,2,350.0000000000000000,0,,0,,0,,0,,4,4,0,0,2
"Cave Creek Unified District",12,10,0,,6,401.0000000000000000,0,,0,,0,,0,,10,10,4,0,1
"Chandler Unified District",66,50,0,,28,359.7142857142857143,0,,0,,0,,0,,42,35,39,0,10
"Colorado River Union High School District",2,2,0,,2,1.00000000000000000000,0,,0,,0,,0,,2,2,0,0,0
"Coolidge Unified District",1,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0
"Deer Valley Unified District",51,49,0,,39,266.1282051282051282,0,,0,,2,30.0000000000000000,2,500.0000000000000000,39,19,37,3,6
"Dysart Unified District",16,15,0,,3,206.6666666666666667,0,,0,,0,,0,,1,0,12,11,0
"Flagstaff Unified District",7,3,0,,0,,0,,0,,0,,0,,2,1,1,0,3
"Florence Unified School District",2,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0
"Flowing Wells Unified District",27,15,0,,12,245.0000000000000000,1,64.0000000000000000,0,,0,,0,,5,0,2,0,2
"Gilbert Unified District",38,33,1,130.0000000000000000,27,329.4666666666666667,0,,0,,0,,0,,26,4,24,1,8
"Glendale Union High School District",100,35,2,122.0000000000000000,21,205.8152380952380952,1,30.0000000000000000,0,,2,30.0000000000000000,2,75.0000000000000000,25,13,6,0,14
"J. O. Combs Unified School District",6,6,0,,6,208.3333333333333333,0,,0,,0,,0,,0,0,6,6,0
"Marana Unified District",12,7,2,150.0000000000000000,3,306.6666666666666667,0,,0,,0,,0,,4,2,4,0,0
"Maricopa Unified School District",2,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0
"Mesa Unified District",78,54,0,,49,216.8163265306122449,0,,0,,0,,0,,49,43,39,0,5
"Mingus Union High School District",2,2,1,55.0000000000000000,1,60.0000000000000000,0,,0,,0,,0,,2,2,0,2,0
"Paradise Valley Unified District",77,61,0,,45,240.5111111111111111,1,65.0000000000000000,0,,1,30.0000000000000000,0,,43,10,32,0,1
"Peoria Unified School District",52,40,1,110.0000000000000000,32,234.1250000000000000,0,,0,,2,30.0000000000000000,0,,33,10,31,1,2
"Phoenix Union High School District",99,53,0,,28,184.0000000000000000,5,36.0000000000000000,0,,12,30.0000000000000000,0,,40,37,11,2,14
"Queen Creek Unified District",7,6,0,,5,76.0000000000000000,0,,0,,0,,0,,4,3,3,0,0
"Sahuarita Unified District",2,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0
"Santa Cruz Valley Unified District",1,1,0,,0,,0,,0,,0,,0,,0,0,0,0,0
"School District Not Defined",2,2,0,,2,100.0000000000000000,0,,0,,0,,0,,2,0,0,0,0
"Scottsdale Unified District",62,52,0,,39,186.0763157894736842,0,,0,,1,235.0000000000000000,0,,32,21,20,0,9
"Sierra Vista Unified District",2,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0
"Sunnyside Unified District",12,11,0,,9,306.2222222222222222,0,,0,,0,,0,,9,5,6,0,2
"Tanque Verde Unified District",8,4,0,,2,220.0000000000000000,0,,0,,0,,0,,4,2,2,1,2
"Tempe Union High School District",82,69,0,,53,232.3962264150943396,5,180.0000000000000000,0,,1,25.0000000000000000,0,,54,48,47,19,22
"Tolleson Union High School District",16,10,0,,4,420.0000000000000000,0,,0,,2,30.0000000000000000,0,,8,2,4,0,4
"Tucson Unified District",190,124,4,60.0000000000000000,84,278.2678571428571429,0,,5,250.0000000000000000,4,105.0000000000000000,2,125.0000000000000000,69,31,39,2,14
"Vail Unified District",17,15,0,,15,228.7333333333333333,0,,0,,0,,0,,11,11,8,0,2
"Yuma Union High School District",6,3,0,,0,,0,,0,,0,,0,,0,1,1,0,1
