"Secondary/Union School District Name","Number of Sites","Average Percentage of African Americans","Average Percentage of Asian Americans","Average Percentage of Latinos","Average Percentage of Native Americans","Average Percentage of Whites","Average Percentage of Other Race or Ethnicity"
"Agua Fria Union High School District",20,13.7846153846153846,1.8571428571428571,32.9846153846153846,3.0153846153846154,44.9846153846153846,1.00000000000000000000
"Amphitheater Unified District",46,7.6000000000000000,2.6000000000000000,26.0450000000000000,2.4150000000000000,55.0100000000000000,3.2500000000000000
"Apache Junction Unified District",1,,,,,,
"Bisbee Unified District",1,,,,,,
"Blue Ridge Unified District",1,10.0000000000000000,,30.0000000000000000,10.0000000000000000,50.0000000000000000,0.00000000000000000000
"Buckeye Union High School District",6,4.8333333333333333,1.00000000000000000000,35.5000000000000000,0.33333333333333333333,57.0000000000000000,1.6666666666666667
"Catalina Foothills Unified District",7,6.1428571428571429,10.0000000000000000,13.4285714285714286,1.5714285714285714,60.7142857142857143,5.4285714285714286
"Cave Creek Unified District",12,1.00000000000000000000,0.60000000000000000000,6.1428571428571429,2.1428571428571429,89.8571428571428571,0.28571428571428571429
"Chandler Unified District",66,6.6400000000000000,5.8333333333333333,23.7800000000000000,3.1400000000000000,57.6400000000000000,1.4400000000000000
"Colorado River Union High School District",2,0.00000000000000000000,,10.0000000000000000,84.0000000000000000,6.0000000000000000,0.00000000000000000000
"Coolidge Unified District",1,15.0000000000000000,,60.0000000000000000,10.0000000000000000,15.0000000000000000,0.00000000000000000000
"Deer Valley Unified District",51,6.3571428571428571,7.0909090909090909,9.7727272727272727,4.8181818181818182,69.6363636363636364,5.5681818181818182
"Dysart Unified District",18,10.1666666666666667,0.00000000000000000000,37.5000000000000000,0.00000000000000000000,47.1666666666666667,1.6666666666666667
"Flagstaff Unified District",7,3.6666666666666667,5.0000000000000000,29.3333333333333333,22.3333333333333333,36.3333333333333333,3.3333333333333333
"Florence Unified School District",2,0.00000000000000000000,,0.00000000000000000000,98.0000000000000000,0.00000000000000000000,2.0000000000000000
"Flowing Wells Unified District",27,10.0560000000000000,2.8400000000000000,46.9480000000000000,1.4760000000000000,39.9080000000000000,0.12400000000000000000
"Gilbert Unified District",38,5.3666666666666667,2.0000000000000000,7.3333333333333333,1.7000000000000000,79.6000000000000000,1.4000000000000000
"Glendale Union High School District",100,9.8478260869565217,3.0555555555555556,53.2043010752688172,3.3548387096774194,26.0322580645161290,5.0967741935483871
"Marana Unified District",12,4.8888888888888889,,20.0000000000000000,1.3333333333333333,50.8888888888888889,0.66666666666666666667
"Maricopa Unified School District",2,10.0000000000000000,,43.0000000000000000,5.0000000000000000,40.0000000000000000,0.00000000000000000000
"Mesa Unified District",78,5.6572307692307692,1.2352941176470588,35.5612307692307692,5.7280000000000000,50.6113846153846154,0.79569230769230769231
"Mingus Union High School District",2,1.00000000000000000000,,3.0000000000000000,1.00000000000000000000,94.0000000000000000,1.00000000000000000000
"Paradise Valley Unified District",77,6.3193548387096774,4.7675862068965517,20.8064516129032258,0.65290322580645161290,62.9193548387096774,0.53967741935483870968
"Peoria Unified School District",52,17.7111111111111111,5.1666666666666667,33.9555555555555556,1.1777777777777778,44.7777777777777778,0.40000000000000000000
"Phoenix Union High School District",97,14.9146341463414634,1.4285714285714286,57.3975903614457831,1.7804878048780488,17.0731707317073171,6.4691358024691358
"Queen Creek Unified District",7,4.0000000000000000,5.0000000000000000,9.1666666666666667,0.83333333333333333333,83.6666666666666667,0.83333333333333333333
"Sahuarita Unified District",2,0.00000000000000000000,,20.0000000000000000,0.00000000000000000000,80.0000000000000000,0.00000000000000000000
"Santa Cruz Valley Unified District",1,,,,,,
"School District Not Defined",2,7.0000000000000000,,6.0000000000000000,80.0000000000000000,5.0000000000000000,0.00000000000000000000
"Scottsdale Unified District",62,5.3600000000000000,0.00000000000000000000,17.2200000000000000,1.6200000000000000,69.4600000000000000,2.1400000000000000
"Sierra Vista Unified District",2,5.0000000000000000,1.00000000000000000000,65.0000000000000000,1.00000000000000000000,28.0000000000000000,0.00000000000000000000
"Sunnyside Unified District",12,3.3000000000000000,0.33333333333333333333,67.1000000000000000,0.70000000000000000000,13.5000000000000000,15.2000000000000000
"Tanque Verde Unified District",8,1.00000000000000000000,0.00000000000000000000,8.5000000000000000,1.00000000000000000000,38.0000000000000000,50.0000000000000000
"Tempe Union High School District",101,10.4415584415584416,6.0666666666666667,25.9610389610389610,3.3506493506493506,45.4935064935064935,7.8571428571428571
"Tolleson Union High School District",16,15.6000000000000000,3.6666666666666667,50.1000000000000000,1.9000000000000000,28.5000000000000000,1.7777777777777778
"Tucson Unified District",190,9.9655172413793103,3.4651162790697674,45.7455172413793103,3.8503448275862069,33.3931034482758621,3.3468965517241379
"Vail Unified District",17,2.5000000000000000,0.00000000000000000000,3.6666666666666667,0.50000000000000000000,75.1666666666666667,16.6666666666666667
"Yuma Union High School District",6,1.00000000000000000000,0.00000000000000000000,47.5000000000000000,50.5000000000000000,0.50000000000000000000,0.50000000000000000000
