"Location ID","Location Name","Location Name (Spanish)",Address,"Address Line 2",City,State,Zip
979,1,,1,,1,AZ,1
734,"479 S. Lake Powel Blvd.","Page Public Library","479 S. Lake Powel Blvd.","P.O. Box 1776",Page,AZ,86040
789,"AAEC-Red Mountain","AAEC-Red Mountain","2165 N. Power Rd",,Mesa,AZ,85215
1086,"Abraham Lincoln Traditional School",,"10444 N. 39th Ave. ",,Phoenix,AZ,85051
390,"Acacia Elementary School",,"3021 W. Evans Dr",,Phoenix,AZ,85051
9,"Acacia Elementary School",,"12955 E. Colossal Cave Rd",,Vail,AZ,85641
122,"Acacia Elementary School",,"3021 W Evans Dr",,Phoenix,AZ,85053
681,"Academic Help Desk",,"2030 E Broadway Blvd.",#205,Tucson,AZ,85719
130,"Academy Adventures Primary School",,"3902 N. Flowing Wells Rd.",,Tucson,AZ,85705
94,"Academy of Math and Science",,"1557 W. Prince",,Tucson,AZ,85705
537,"Academy of Tucson Elementary School",,"9209 E. Wrightstown Rd.",,Tucson,AZ,85715
893,"ACP-Erie Campus",,"1150 W Erie Street",,Chandler,AZ,85224
992,"After School Program",,"225 S. Orlando St",,Florence,AZ,85132
603,"Aguilar School",,"5800 S Forest Dr.",,Tempe,AZ,85283
809,"Ahwatukee Family YMCA",,"1030 E. Liberty Lane",,Phoenix,AZ,85048
364,"Aldea Montessori",,"15639 N. 40th St",,Phoenix,AZ,
618,"Alfred F. Garcia Elementary School",,"1441 S. 27th Avenue",,Phoenix,AZ,85009
628,"Allsport Academy",,"6211 East Speedway Blvd",,Tucson,AZ,85712
1164,"Alta E. Butler Elementary School",,"3843 W. Roosevelt St.",,Phoenix,AZ,85009
440,"Alta Loma elementary",,"9750 N. 87 Ave.",,Peoria,AZ,85345
329,"Altar Valley Middle School",,"10105 S Sasabe Hwy",,Tucson,AZ,85736
308,"Alta Vista Elementary School",,"8710 N 31 Ave",,Phoenix,AZ,85051
932,"Amberlea Elementary",,"8455 W. Virginia Avenue",,Phoenix,AZ,85037
935,"American Extended Day",,"8530 N 55th Avenue",,Glendale,AZ,85302
951,"American Leadership Academy",,"4507 S Mountain Road",,Mesa,AZ,85212
396,"AmeriSchools Academy",,"1150 N country club",,tucson,AZ,85716
357,"AmeriSchools Academy Camelback",,"1333 W Camelback Rd",,Phoenix,AZ,85013
368,"AmeriSchools Academy YUma",,"2098 S. 3rd Ave",,Yuma,AZ,85364
638,"Amy L. Houston Academy",,"7139 South 10th Street",,Phoenix,AZ,
639,"Anasazi Elementary School",,"12121 N. 124th St.",,Scottsdale,AZ,85259
